,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
9880,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Self Directed Support Team,Staff Vehicle Mileage,28.35,REDACTED PERSONAL DATA
9881,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Self Directed Support Team,Staff Vehicle Mileage VAT element,-1.89,REDACTED PERSONAL DATA
9882,Revenue,Resources,Payroll,29.11.2013,Transformation Costs,Staff Vehicle Mileage,8.10,REDACTED PERSONAL DATA
9883,Revenue,Resources,Payroll,29.11.2013,Transformation Costs,Staff Vehicle Mileage VAT element,-0.54,REDACTED PERSONAL DATA
9884,Revenue,Childrens Services,Payroll,29.11.2013,Fostering Team,Staff Vehicle Mileage,198.90,REDACTED PERSONAL DATA
9885,Revenue,Childrens Services,Payroll,29.11.2013,Fostering Team,Staff Vehicle Mileage,193.50,REDACTED PERSONAL DATA
9886,Revenue,Childrens Services,Payroll,29.11.2013,Fostering Team,Staff Vehicle Mileage VAT element,-21.80,REDACTED PERSONAL DATA
9887,Revenue,Childrens Services,Payroll,29.11.2013,Adoption Team,Staff Vehicle Mileage,350.55,REDACTED PERSONAL DATA
9888,Revenue,Childrens Services,Payroll,29.11.2013,Adoption Team,Staff Vehicle Mileage,105.30,REDACTED PERSONAL DATA
9889,Revenue,Childrens Services,Payroll,29.11.2013,Adoption Team,Staff Vehicle Mileage,46.80,REDACTED PERSONAL DATA
9890,Revenue,Childrens Services,Payroll,29.11.2013,Adoption Team,Staff Vehicle Mileage VAT element,-29.10,REDACTED PERSONAL DATA
9891,Revenue,Childrens Services,Payroll,29.11.2013,Youth Offending Team,Staff Vehicle Mileage,217.80,REDACTED PERSONAL DATA
9892,Revenue,Childrens Services,Payroll,29.11.2013,Youth Offending Team,Staff Vehicle Mileage,215.55,REDACTED PERSONAL DATA
9893,Revenue,Childrens Services,Payroll,29.11.2013,Youth Offending Team,Staff Vehicle Mileage,184.05,REDACTED PERSONAL DATA
9894,Revenue,Childrens Services,Payroll,29.11.2013,Youth Offending Team,Staff Vehicle Mileage,153.45,REDACTED PERSONAL DATA
9895,Revenue,Childrens Services,Payroll,29.11.2013,Youth Offending Team,Staff Vehicle Mileage,28.35,REDACTED PERSONAL DATA
9896,Revenue,Childrens Services,Payroll,29.11.2013,Youth Offending Team,Staff Vehicle Mileage VAT element,-46.16,REDACTED PERSONAL DATA
9897,Revenue,Economy & Environment,Payroll,29.11.2013,Trees and Landscape,Staff Vehicle Mileage,6.30,REDACTED PERSONAL DATA
9898,Revenue,Economy & Environment,Payroll,29.11.2013,Trees and Landscape,Staff Vehicle Mileage VAT element,-0.35,REDACTED PERSONAL DATA
9899,Revenue,Economy & Environment,Payroll,29.11.2013,Trading Standards,Staff Vehicle Mileage,107.55,REDACTED PERSONAL DATA
9900,Revenue,Economy & Environment,Payroll,29.11.2013,Trading Standards,Staff Vehicle Mileage VAT element,-7.17,REDACTED PERSONAL DATA
9901,Revenue,Economy & Environment,Payroll,29.11.2013,Licensing Services,Staff Vehicle Mileage,4.50,REDACTED PERSONAL DATA
9902,Revenue,Economy & Environment,Payroll,29.11.2013,Licensing Services,Staff Vehicle Mileage VAT element,-0.25,REDACTED PERSONAL DATA
9903,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,129.60,REDACTED PERSONAL DATA
9904,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,20.74,REDACTED PERSONAL DATA
9905,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage VAT element,-7.20,REDACTED PERSONAL DATA
9906,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Long Term Conditions,Staff Vehicle Mileage,122.85,REDACTED PERSONAL DATA
9907,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Long Term Conditions,Staff Vehicle Mileage VAT element,-6.83,REDACTED PERSONAL DATA
9908,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Substance Misuse - Youth Services,Staff Vehicle Mileage,28.35,REDACTED PERSONAL DATA
9909,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Substance Misuse - Youth Services,Staff Vehicle Mileage VAT element,-1.59,REDACTED PERSONAL DATA
9910,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Mental Health Team,Staff Vehicle Mileage,207.45,REDACTED PERSONAL DATA
9911,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Mental Health Team,Staff Vehicle Mileage VAT element,-13.83,REDACTED PERSONAL DATA
9912,Revenue,Resources,Payroll,29.11.2013,ICT Development Manager,Staff Vehicle Mileage,61.20,REDACTED PERSONAL DATA
9913,Revenue,Resources,Payroll,29.11.2013,ICT Development Manager,Staff Vehicle Mileage VAT element,-4.08,REDACTED PERSONAL DATA
9914,Revenue,Childrens Services,Payroll,29.11.2013,Raising Participation Age Project,Staff Vehicle Mileage,9.00,REDACTED PERSONAL DATA
9915,Revenue,Childrens Services,Payroll,29.11.2013,Raising Participation Age Project,Staff Vehicle Mileage VAT element,-0.60,REDACTED PERSONAL DATA
9916,Revenue,Economy & Environment,Payroll,29.11.2013,Trading Standards,Staff Vehicle Mileage,83.70,REDACTED PERSONAL DATA
9917,Revenue,Economy & Environment,Payroll,29.11.2013,Trading Standards,Staff Vehicle Mileage VAT element,-5.58,REDACTED PERSONAL DATA
9918,Revenue,Childrens Services,Payroll,29.11.2013,Contact & Assessment Team,Staff Vehicle Mileage,124.20,REDACTED PERSONAL DATA
9919,Revenue,Childrens Services,Payroll,29.11.2013,Contact & Assessment Team,Staff Vehicle Mileage VAT element,-5.52,REDACTED PERSONAL DATA
9920,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,101.25,REDACTED PERSONAL DATA
9921,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,16.20,REDACTED PERSONAL DATA
9922,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage VAT element,-5.63,REDACTED PERSONAL DATA
9923,Revenue,Resources,Payroll,29.11.2013,Transformation Costs,Staff Vehicle Mileage,10.80,REDACTED PERSONAL DATA
9924,Revenue,Resources,Payroll,29.11.2013,Transformation Costs,Staff Vehicle Mileage VAT element,-0.60,REDACTED PERSONAL DATA
9925,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,"Options,Prevention & Register Team",Staff Vehicle Mileage,65.25,REDACTED PERSONAL DATA
9926,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,"Options,Prevention & Register Team",Staff Vehicle Mileage VAT element,-3.65,REDACTED PERSONAL DATA
9927,Revenue,Childrens Services,Payroll,29.11.2013,Contact & Assessment Team,Staff Vehicle Mileage,209.70,REDACTED PERSONAL DATA
9928,Revenue,Childrens Services,Payroll,29.11.2013,Contact & Assessment Team,Staff Vehicle Mileage VAT element,-11.65,REDACTED PERSONAL DATA
9929,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage,88.20,REDACTED PERSONAL DATA
9930,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage VAT element,-5.73,REDACTED PERSONAL DATA
9931,Revenue,Economy & Environment,Payroll,29.11.2013,Deputy Chief Fire Office,Staff Vehicle Mileage,12.15,REDACTED PERSONAL DATA
9932,Revenue,Economy & Environment,Payroll,29.11.2013,Road Safety,Staff Vehicle Mileage VAT element,-0.68,REDACTED PERSONAL DATA
9933,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal & Community Development Learning,Staff Vehicle Mileage,68.85,REDACTED PERSONAL DATA
9934,Revenue,Childrens Services,Payroll,29.11.2013,Pre-school Special Educational Needs,Staff Vehicle Mileage,198.00,REDACTED PERSONAL DATA
9935,Revenue,Childrens Services,Payroll,29.11.2013,Pre-school Special Educational Needs,Staff Vehicle Mileage VAT element,-11.00,REDACTED PERSONAL DATA
9936,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage,75.15,REDACTED PERSONAL DATA
9937,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage VAT element,-5.01,REDACTED PERSONAL DATA
9938,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage,17.10,REDACTED PERSONAL DATA
9939,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage VAT element,-0.95,REDACTED PERSONAL DATA
9940,Revenue,Childrens Services,Payroll,29.11.2013,"Speech, Language and Communication",Staff Vehicle Mileage,135.45,REDACTED PERSONAL DATA
9941,Revenue,Childrens Services,Payroll,29.11.2013,"Speech, Language and Communication",Staff Vehicle Mileage VAT element,-9.03,REDACTED PERSONAL DATA
9942,Revenue,Childrens Services,Payroll,29.11.2013,Family Information Zone,Staff Vehicle Mileage,14.40,REDACTED PERSONAL DATA
9943,Revenue,Childrens Services,Payroll,29.11.2013,Family Information Zone,Staff Vehicle Mileage VAT element,-0.80,REDACTED PERSONAL DATA
9944,Capital,Community Wellbeing & Social Care,Payroll,29.11.2013,Gouldings Resource Centre,Staff Vehicle Mileage,127.80,REDACTED PERSONAL DATA
9945,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Gouldings Resource Centre,Staff Vehicle Mileage,90.90,REDACTED PERSONAL DATA
9946,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Gouldings Resource Centre,Staff Vehicle Mileage,71.10,REDACTED PERSONAL DATA
9947,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Gouldings Resource Centre,Staff Vehicle Mileage,50.40,REDACTED PERSONAL DATA
9948,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Gouldings Resource Centre,Staff Vehicle Mileage VAT element,-31.31,REDACTED PERSONAL DATA
9949,Revenue,Childrens Services,Payroll,29.11.2013,Clatterford Pupil Referral Unit (PRU),Staff Vehicle Mileage,28.35,REDACTED PERSONAL DATA
9950,Revenue,Childrens Services,Payroll,29.11.2013,Clatterford Pupil Referral Unit (PRU),Staff Vehicle Mileage VAT element,-1.58,REDACTED PERSONAL DATA
9951,Revenue,Economy & Environment,Payroll,29.11.2013,Development Control,Staff Vehicle Mileage,24.30,REDACTED PERSONAL DATA
9952,Revenue,Economy & Environment,Payroll,29.11.2013,Development Control,Staff Vehicle Mileage VAT element,-1.35,REDACTED PERSONAL DATA
9953,Revenue,Childrens Services,Payroll,29.11.2013,Children in Care Team,Staff Vehicle Mileage,129.60,REDACTED PERSONAL DATA
9954,Revenue,Childrens Services,Payroll,29.11.2013,Children in Care Team,Staff Vehicle Mileage,112.50,REDACTED PERSONAL DATA
9955,Revenue,Childrens Services,Payroll,29.11.2013,Children in Care Team,Staff Vehicle Mileage VAT element,-13.45,REDACTED PERSONAL DATA
9956,Revenue,Childrens Services,Payroll,29.11.2013,Duty and Assessment 2,Staff Vehicle Mileage,261.00,REDACTED PERSONAL DATA
9957,Revenue,Childrens Services,Payroll,29.11.2013,Duty and Assessment 2,Staff Vehicle Mileage VAT element,-14.51,REDACTED PERSONAL DATA
9958,Revenue,Childrens Services,Payroll,29.11.2013,Statutory Assessment and Review Team,Staff Vehicle Mileage,7.65,REDACTED PERSONAL DATA
9959,Revenue,Childrens Services,Payroll,29.11.2013,Statutory Assessment and Review Team,Staff Vehicle Mileage,6.30,REDACTED PERSONAL DATA
9960,Revenue,Childrens Services,Payroll,29.11.2013,Statutory Assessment and Review Team,Staff Vehicle Mileage,5.40,REDACTED PERSONAL DATA
9961,Revenue,Childrens Services,Payroll,29.11.2013,Statutory Assessment and Review Team,Staff Vehicle Mileage VAT element,-1.29,REDACTED PERSONAL DATA
9962,Revenue,Economy & Environment,Payroll,29.11.2013,LA 21,Staff Vehicle Mileage,49.50,REDACTED PERSONAL DATA
9963,Revenue,Economy & Environment,Payroll,29.11.2013,LA 21,Staff Vehicle Mileage VAT element,-3.30,REDACTED PERSONAL DATA
9964,Revenue,Childrens Services,Payroll,29.11.2013,Disabled Childrens Team,Staff Vehicle Mileage,102.15,REDACTED PERSONAL DATA
9965,Revenue,Childrens Services,Payroll,29.11.2013,Disabled Childrens Team,Staff Vehicle Mileage VAT element,-5.71,REDACTED PERSONAL DATA
9966,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage,33.30,REDACTED PERSONAL DATA
9967,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage VAT element,-1.85,REDACTED PERSONAL DATA
9968,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Supporting People Administration,Staff Vehicle Mileage,21.60,REDACTED PERSONAL DATA
9969,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Supporting People Administration,Staff Vehicle Mileage VAT element,-1.20,REDACTED PERSONAL DATA
9970,Revenue,Economy & Environment,Payroll,29.11.2013,Trading Standards,Staff Vehicle Mileage,86.40,REDACTED PERSONAL DATA
9971,Revenue,Economy & Environment,Payroll,29.11.2013,Trading Standards,Staff Vehicle Mileage VAT element,-3.84,REDACTED PERSONAL DATA
9972,Capital,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal & Community Development Learning,Staff Vehicle Mileage,96.30,REDACTED PERSONAL DATA
9973,Capital,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal & Community Development Learning,Staff Vehicle Mileage VAT element,-5.35,REDACTED PERSONAL DATA
9974,Revenue,Economy & Environment,Payroll,29.11.2013,Development Control,Staff Vehicle Mileage,65.25,REDACTED PERSONAL DATA
9975,Revenue,Economy & Environment,Payroll,29.11.2013,Development Control,Staff Vehicle Mileage VAT element,-3.63,REDACTED PERSONAL DATA
9976,Revenue,Childrens Services,Payroll,29.11.2013,Youth & Community Service,Staff Vehicle Mileage,87.30,REDACTED PERSONAL DATA
9977,Revenue,Childrens Services,Payroll,29.11.2013,Youth & Community Service,Staff Vehicle Mileage VAT element,-4.89,REDACTED PERSONAL DATA
9978,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Self Directed Support Team,Staff Vehicle Mileage,55.35,REDACTED PERSONAL DATA
9979,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Self Directed Support Team,Staff Vehicle Mileage VAT element,-3.08,REDACTED PERSONAL DATA
9980,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Renewal & Enforcement,Staff Vehicle Mileage,198.90,REDACTED PERSONAL DATA
9981,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Renewal & Enforcement,Staff Vehicle Mileage VAT element,-13.26,REDACTED PERSONAL DATA
9982,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Long Term Conditions,Staff Vehicle Mileage,166.50,REDACTED PERSONAL DATA
9983,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Long Term Conditions,Staff Vehicle Mileage VAT element,-9.25,REDACTED PERSONAL DATA
9984,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Management,Staff Vehicle Mileage,63.00,REDACTED PERSONAL DATA
9985,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Management,Staff Vehicle Mileage VAT element,-3.50,REDACTED PERSONAL DATA
9986,Revenue,Economy & Environment,Payroll,29.11.2013,Coastal Management,Staff Vehicle Mileage,177.75,REDACTED PERSONAL DATA
9987,Revenue,Economy & Environment,Payroll,29.11.2013,Coastal Management,Staff Vehicle Mileage VAT element,-9.88,REDACTED PERSONAL DATA
9988,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage,117.90,REDACTED PERSONAL DATA
9989,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage VAT element,-6.59,REDACTED PERSONAL DATA
9990,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage,170.55,REDACTED PERSONAL DATA
9991,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage,44.55,REDACTED PERSONAL DATA
9992,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage VAT element,-14.34,REDACTED PERSONAL DATA
9993,Revenue,Childrens Services,Payroll,29.11.2013,Youth & Community Service,Staff Vehicle Mileage,30.15,REDACTED PERSONAL DATA
9994,Revenue,Childrens Services,Payroll,29.11.2013,Youth & Community Service,Staff Vehicle Mileage VAT element,-2.01,REDACTED PERSONAL DATA
9995,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage,54.45,REDACTED PERSONAL DATA
9996,Revenue,Childrens Services,Payroll,29.11.2013,Education Welfare Service,Staff Vehicle Mileage VAT element,-3.05,REDACTED PERSONAL DATA
9997,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Westminster House,Staff Vehicle Mileage,16.65,REDACTED PERSONAL DATA
9998,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Westminster House,Staff Vehicle Mileage VAT element,-0.93,REDACTED PERSONAL DATA
9999,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Wightcare,Staff Vehicle Mileage,45.45,REDACTED PERSONAL DATA
10000,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Wightcare,Staff Vehicle Mileage VAT element,-2.53,REDACTED PERSONAL DATA
10001,Revenue,Economy & Environment,Payroll,29.11.2013,Deputy Chief Fire Office,Staff Vehicle Mileage,18.00,REDACTED PERSONAL DATA
10002,Revenue,Economy & Environment,Payroll,29.11.2013,Deputy Chief Fire Office,Staff Vehicle Mileage,2.88,REDACTED PERSONAL DATA
10003,Revenue,Childrens Services,Payroll,29.11.2013,Visually Impaired Service,Staff Vehicle Mileage,163.80,REDACTED PERSONAL DATA
10004,Revenue,Childrens Services,Payroll,29.11.2013,Hearing Impaired Service,Staff Vehicle Mileage VAT element,-10.92,REDACTED PERSONAL DATA
10005,Capital,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage,107.10,REDACTED PERSONAL DATA
10006,Capital,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage,81.90,REDACTED PERSONAL DATA
10007,Capital,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage,58.95,REDACTED PERSONAL DATA
10008,Revenue,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage,30.60,REDACTED PERSONAL DATA
10009,Revenue,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage,23.40,REDACTED PERSONAL DATA
10010,Revenue,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage VAT element,-16.78,REDACTED PERSONAL DATA
10011,Revenue,Economy & Environment,Payroll,29.11.2013,Fort Victoria,Staff Vehicle Mileage,9.90,REDACTED PERSONAL DATA
10012,Revenue,Economy & Environment,Payroll,29.11.2013,Fort Victoria,Staff Vehicle Mileage,3.15,REDACTED PERSONAL DATA
10013,Revenue,Economy & Environment,Payroll,29.11.2013,Fort Victoria,Staff Vehicle Mileage VAT element,-0.87,REDACTED PERSONAL DATA
10014,Revenue,Economy & Environment,Payroll,29.11.2013,Trees and Landscape,Staff Vehicle Mileage,298.80,REDACTED PERSONAL DATA
10015,Revenue,Economy & Environment,Payroll,29.11.2013,Trees and Landscape,Staff Vehicle Mileage VAT element,-16.60,REDACTED PERSONAL DATA
10016,Revenue,Resources,Payroll,29.11.2013,Help Centres Shared Service Centre,Staff Vehicle Mileage,94.50,REDACTED PERSONAL DATA
10017,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Self Directed Support Team,Staff Vehicle Mileage,60.75,REDACTED PERSONAL DATA
10018,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Self Directed Support Team,Staff Vehicle Mileage,21.60,REDACTED PERSONAL DATA
10019,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Self Directed Support Team,Staff Vehicle Mileage VAT element,-5.49,REDACTED PERSONAL DATA
10020,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Occupational Therapy,Staff Vehicle Mileage,132.00,REDACTED PERSONAL DATA
10021,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Occupational Therapy,Staff Vehicle Mileage,80.00,REDACTED PERSONAL DATA
10022,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Occupational Therapy,Staff Vehicle Mileage VAT element,-10.60,REDACTED PERSONAL DATA
10023,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage,79.65,REDACTED PERSONAL DATA
10024,Revenue,Economy & Environment,Payroll,29.11.2013,Environmental Health - Geographical Team,Staff Vehicle Mileage VAT element,-5.31,REDACTED PERSONAL DATA
10025,Revenue,Childrens Services,Payroll,29.11.2013,Admin - Childrens Social Care,Staff Vehicle Mileage,1.80,REDACTED PERSONAL DATA
10026,Revenue,Childrens Services,Payroll,29.11.2013,Admin - Childrens Social Care,Staff Vehicle Mileage,1.80,REDACTED PERSONAL DATA
10027,Revenue,Childrens Services,Payroll,29.11.2013,Admin - Childrens Social Care,Staff Vehicle Mileage,1.80,REDACTED PERSONAL DATA
10028,Revenue,Childrens Services,Payroll,29.11.2013,Admin - Childrens Social Care,Staff Vehicle Mileage VAT element,-0.36,REDACTED PERSONAL DATA
10029,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,163.35,REDACTED PERSONAL DATA
10030,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,26.14,REDACTED PERSONAL DATA
10031,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage VAT element,-9.08,REDACTED PERSONAL DATA
10032,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Homecare Reablement,Staff Vehicle Mileage,36.90,REDACTED PERSONAL DATA
10033,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Homecare Reablement,Staff Vehicle Mileage VAT element,-2.05,REDACTED PERSONAL DATA
10034,Revenue,Childrens Services,Payroll,29.11.2013,Childrens Services Finance Team,Staff Vehicle Mileage,50.40,REDACTED PERSONAL DATA
10035,Revenue,Childrens Services,Payroll,29.11.2013,Childrens Services Finance Team,Staff Vehicle Mileage VAT element,-2.80,REDACTED PERSONAL DATA
10036,Revenue,Resources,Payroll,29.11.2013,Fraud Section,Staff Vehicle Mileage,6.30,REDACTED PERSONAL DATA
10037,Revenue,Resources,Payroll,29.11.2013,Fraud Section,Staff Vehicle Mileage VAT element,-0.35,REDACTED PERSONAL DATA
10038,Revenue,Resources,Payroll,29.11.2013,Shared Services Manager,Staff Vehicle Mileage,93.60,REDACTED PERSONAL DATA
10039,Revenue,Resources,Payroll,29.11.2013,Shared Services Manager,Staff Vehicle Mileage VAT element,-5.20,REDACTED PERSONAL DATA
10040,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Safeguarding Training,Staff Vehicle Mileage,23.85,REDACTED PERSONAL DATA
10041,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Safeguarding Training,Staff Vehicle Mileage VAT element,-1.06,REDACTED PERSONAL DATA
10042,Revenue,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage,33.75,REDACTED PERSONAL DATA
10043,Revenue,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage VAT element,-2.25,REDACTED PERSONAL DATA
10044,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,85.05,REDACTED PERSONAL DATA
10045,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-5.67,REDACTED PERSONAL DATA
10046,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Review/Quality Assurance,Staff Vehicle Mileage,90.90,REDACTED PERSONAL DATA
10047,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Review/Quality Assurance,Staff Vehicle Mileage VAT element,-5.05,REDACTED PERSONAL DATA
10048,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,25.65,REDACTED PERSONAL DATA
10049,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,4.10,REDACTED PERSONAL DATA
10050,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage VAT element,-1.43,REDACTED PERSONAL DATA
10051,Revenue,Resources,Payroll,29.11.2013,ICT Strategic Development,Staff Vehicle Mileage,1.35,REDACTED PERSONAL DATA
10052,Revenue,Resources,Payroll,29.11.2013,ICT Strategic Development,Staff Vehicle Mileage,1.35,REDACTED PERSONAL DATA
10053,Revenue,Resources,Payroll,29.11.2013,ICT Strategic Development,Staff Vehicle Mileage VAT element,-0.16,REDACTED PERSONAL DATA
10054,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Strengthening Families,Staff Vehicle Mileage,88.20,REDACTED PERSONAL DATA
10055,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Strengthening Families,Staff Vehicle Mileage VAT element,-4.90,REDACTED PERSONAL DATA
10056,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,165.60,REDACTED PERSONAL DATA
10057,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-15.95,REDACTED PERSONAL DATA
10058,Revenue,Economy & Environment,Payroll,29.11.2013,Energy Efficiency Management,Staff Vehicle Mileage,29.25,REDACTED PERSONAL DATA
10059,Revenue,Economy & Environment,Payroll,29.11.2013,Energy Efficiency Management,Staff Vehicle Mileage VAT element,-1.95,REDACTED PERSONAL DATA
10060,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,First Response,Staff Vehicle Mileage,61.65,REDACTED PERSONAL DATA
10061,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,First Response,Staff Vehicle Mileage VAT element,-3.43,REDACTED PERSONAL DATA
10062,Revenue,Economy & Environment,Payroll,29.11.2013,Contaminated Land,Staff Vehicle Mileage,65.70,REDACTED PERSONAL DATA
10063,Revenue,Economy & Environment,Payroll,29.11.2013,Contaminated Land,Staff Vehicle Mileage VAT element,-4.38,REDACTED PERSONAL DATA
10064,Revenue,Childrens Services,Payroll,29.11.2013,Early Help Team,Staff Vehicle Mileage,55.80,REDACTED PERSONAL DATA
10065,Revenue,Childrens Services,Payroll,29.11.2013,Early Help Team,Staff Vehicle Mileage VAT element,-3.10,REDACTED PERSONAL DATA
10066,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,85.50,REDACTED PERSONAL DATA
10067,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,40.05,REDACTED PERSONAL DATA
10068,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-1.78,REDACTED PERSONAL DATA
10069,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,First Response,Staff Vehicle Mileage,102.60,REDACTED PERSONAL DATA
10070,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,First Response,Staff Vehicle Mileage VAT element,-5.70,REDACTED PERSONAL DATA
10071,Revenue,Childrens Services,Payroll,29.11.2013,Contact & Assessment Team,Staff Vehicle Mileage,113.40,REDACTED PERSONAL DATA
